timestamp,metrica
2024-01-01,104.21
2024-01-02,101.95
2024-01-03,101.97
2024-01-04,107.07
2024-01-05,109.82
2024-01-06,107.84
2024-01-07,111.89
2024-01-08,112.45
2024-01-09,114.44
2024-01-10,110.8
2024-01-11,106.14
2024-01-12,105.24
2024-01-13,106.77
2024-01-14,103.72
2024-01-15,108.3
2024-01-16,109.75
2024-01-17,108.6
2024-01-18,105.4
2024-01-19,110.24
2024-01-20,113.48
2024-01-21,116.06
2024-01-22,114.19
2024-01-23,113.44
2024-01-24,110.24
2024-01-25,111.53
2024-01-26,117.14
2024-01-27,121.57
2024-01-28,123.69
2024-01-29,126.15
2024-01-30,124.11
2024-01-31,123.61
2024-02-01,118.83
2024-02-02,122.42
2024-02-03,125.86
2024-02-04,120.96
2024-02-05,125.98
2024-02-06,128.11
2024-02-07,129.72
2024-02-08,124.81
2024-02-09,122.59
2024-02-10,126.44
2024-02-11,124.8
2024-02-12,130.44
2024-02-13,132.51
2024-02-14,132.17
2024-02-15,131.31
2024-02-16,130.15
2024-02-17,127.92
2024-02-18,128.06
2024-02-19,130.51
2024-02-20,134.57
2024-02-21,133.94
2024-02-22,130.07
2024-02-23,130.69
2024-02-24,132.98
2024-02-25,137.26
2024-02-26,136.37
2024-02-27,138.49
2024-02-28,140.19
2024-02-29,138.48
2024-03-01,134.66
2024-03-02,130.37
2024-03-03,136.24
2024-03-04,138.29
2024-03-05,142.76
2024-03-06,140.63
2024-03-07,143.46
2024-03-08,148.27
2024-03-09,146.56
2024-03-10,143.21
2024-03-11,146.63
2024-03-12,151.53
2024-03-13,155.38
2024-03-14,159.21
2024-03-15,160.81
2024-03-16,163.08
2024-03-17,165.57
2024-03-18,168.5
2024-03-19,170.71
2024-03-20,176.68
2024-03-21,174.53
2024-03-22,174.14
2024-03-23,173.41
2024-03-24,168.8
2024-03-25,171.59
2024-03-26,172.88
2024-03-27,169.97
2024-03-28,172.96
2024-03-29,170.41
2024-03-30,171.29
2024-03-31,174.92
2024-04-01,179.89
2024-04-02,182.28
2024-04-03,182.86
2024-04-04,187.16
2024-04-05,191.41
2024-04-06,196.05
2024-04-07,193.05
2024-04-08,189.12
2024-04-09,185.53
2024-04-10,183.37
2024-04-11,187.26
2024-04-12,190.66
2024-04-13,187.67
2024-04-14,190.15
2024-04-15,188.84
2024-04-16,184.82
2024-04-17,183.73
2024-04-18,186.91
2024-04-19,185.29
2024-04-20,188.96
2024-04-21,187.61
2024-04-22,185.47
2024-04-23,183.71
2024-04-24,188.07
2024-04-25,188.25
2024-04-26,192.78
2024-04-27,194.2
2024-04-28,199.58
2024-04-29,195.37
2024-04-30,200.15
2024-05-01,200.66
2024-05-02,205.2
2024-05-03,204.4
2024-05-04,202.68
2024-05-05,198.27
2024-05-06,202.67
2024-05-07,199.18
2024-05-08,196.38
2024-05-09,195.88
2024-05-10,197.15
2024-05-11,202.12
2024-05-12,202.15
2024-05-13,200.63
2024-05-14,203.51
2024-05-15,207.08
2024-05-16,207.44
2024-05-17,209.38
2024-05-18,206.32
2024-05-19,208.3
2024-05-20,203.36
2024-05-21,201.37
2024-05-22,204.74
2024-05-23,201.59
2024-05-24,205.0
2024-05-25,205.39
2024-05-26,208.79
2024-05-27,204.76
2024-05-28,206.51
2024-05-29,208.48
2024-05-30,207.92
2024-05-31,213.54
2024-06-01,212.76
2024-06-02,208.17
2024-06-03,205.36
2024-06-04,204.47
2024-06-05,199.62
2024-06-06,198.17
2024-06-07,202.33
2024-06-08,199.43
2024-06-09,201.87
2024-06-10,203.77
2024-06-11,201.5
2024-06-12,204.13
2024-06-13,202.92
2024-06-14,199.34
2024-06-15,198.56
2024-06-16,200.03
2024-06-17,196.87
2024-06-18,200.93
2024-06-19,199.21
2024-06-20,197.41
2024-06-21,200.42
2024-06-22,201.98
2024-06-23,200.69
2024-06-24,205.46
2024-06-25,211.41
2024-06-26,210.18
2024-06-27,215.1
2024-06-28,214.05
2024-06-29,211.12
2024-06-30,216.55
2024-07-01,221.65
2024-07-02,221.09
2024-07-03,218.6
2024-07-04,221.6
2024-07-05,218.04
2024-07-06,221.12
2024-07-07,222.6
2024-07-08,219.46
2024-07-09,218.5
2024-07-10,220.65
2024-07-11,216.06
2024-07-12,220.7
2024-07-13,218.52
2024-07-14,219.4
2024-07-15,214.94
2024-07-16,220.88
2024-07-17,223.16
2024-07-18,225.35
2024-07-19,220.56
2024-07-20,223.15
2024-07-21,222.74
2024-07-22,221.92
2024-07-23,222.94
2024-07-24,223.16
2024-07-25,219.84
2024-07-26,222.49
2024-07-27,224.42
2024-07-28,222.73
2024-07-29,225.01
2024-07-30,227.3
2024-07-31,225.27
2024-08-01,226.93
2024-08-02,223.44
2024-08-03,227.58
2024-08-04,223.73
2024-08-05,226.64
2024-08-06,222.93
2024-08-07,219.19
2024-08-08,215.36
2024-08-09,212.54
2024-08-10,209.74
2024-08-11,207.63
2024-08-12,208.39
2024-08-13,205.61
2024-08-14,208.34
2024-08-15,206.59
2024-08-16,202.03
2024-08-17,202.49
2024-08-18,199.77
2024-08-19,205.03
2024-08-20,203.67
2024-08-21,198.7
2024-08-22,201.09
2024-08-23,206.06
2024-08-24,210.25
2024-08-25,212.61
2024-08-26,209.25
2024-08-27,205.24
2024-08-28,205.87
2024-08-29,208.83
2024-08-30,204.95
2024-08-31,202.76
2024-09-01,200.3
2024-09-02,206.18
2024-09-03,204.43
2024-09-04,204.54
2024-09-05,200.64
2024-09-06,197.56
2024-09-07,192.99
2024-09-08,191.19
2024-09-09,195.01
2024-09-10,193.45
2024-09-11,196.57
2024-09-12,192.62
2024-09-13,195.96
2024-09-14,191.46
2024-09-15,195.83
2024-09-16,198.13
2024-09-17,195.01
2024-09-18,193.94
2024-09-19,193.75
2024-09-20,195.59
2024-09-21,200.26
2024-09-22,196.28
2024-09-23,200.24
2024-09-24,197.26
2024-09-25,196.66
2024-09-26,202.25
2024-09-27,200.24
2024-09-28,199.48
2024-09-29,203.84
2024-09-30,207.64
2024-10-01,209.78
2024-10-02,213.54
2024-10-03,209.79
2024-10-04,212.44
2024-10-05,208.09
2024-10-06,213.46
2024-10-07,210.21
2024-10-08,209.79
2024-10-09,211.28
2024-10-10,215.11
2024-10-11,217.57
2024-10-12,214.57
2024-10-13,213.74
2024-10-14,212.69
2024-10-15,208.0
2024-10-16,210.53
2024-10-17,214.76
2024-10-18,220.47
2024-10-19,216.9
2024-10-20,222.03
2024-10-21,218.27
2024-10-22,217.79
2024-10-23,213.3
2024-10-24,211.18
2024-10-25,209.63
2024-10-26,212.38
2024-10-27,214.84
2024-10-28,218.28
2024-10-29,219.63
2024-10-30,220.84
2024-10-31,226.6
2024-11-01,228.97
2024-11-02,227.69
2024-11-03,228.44
2024-11-04,231.15
2024-11-05,227.2
2024-11-06,229.48
2024-11-07,227.21
2024-11-08,226.01
2024-11-09,228.45
2024-11-10,227.69
2024-11-11,231.92
2024-11-12,233.06
2024-11-13,238.92
2024-11-14,234.52
2024-11-15,236.6
2024-11-16,233.33
2024-11-17,237.66
2024-11-18,242.03
2024-11-19,246.6
2024-11-20,242.42
2024-11-21,242.83
2024-11-22,240.48
2024-11-23,246.15
2024-11-24,241.7
2024-11-25,239.15
2024-11-26,241.23
2024-11-27,240.67
2024-11-28,238.25
2024-11-29,238.3
2024-11-30,242.12
2024-12-01,242.05
2024-12-02,246.47
2024-12-03,246.39
2024-12-04,242.69
2024-12-05,243.16
2024-12-06,245.35
2024-12-07,241.48
2024-12-08,241.01
2024-12-09,242.14
2024-12-10,237.14
2024-12-11,233.14
2024-12-12,234.79
2024-12-13,236.6
2024-12-14,234.95
2024-12-15,235.54
2024-12-16,232.82
2024-12-17,235.2
2024-12-18,240.66
2024-12-19,239.65
2024-12-20,235.25
2024-12-21,232.7
2024-12-22,232.7
2024-12-23,233.86
2024-12-24,235.68
2024-12-25,235.89
2024-12-26,238.12
2024-12-27,240.99
2024-12-28,237.24
2024-12-29,240.6
2024-12-30,238.04
2024-12-31,236.79
2025-01-01,240.92
2025-01-02,246.53
2025-01-03,244.74
2025-01-04,245.48
2025-01-05,248.21
2025-01-06,243.71
2025-01-07,240.51
2025-01-08,237.06
2025-01-09,239.95
2025-01-10,242.88
2025-01-11,239.06
2025-01-12,240.78
2025-01-13,237.84
2025-01-14,243.07
2025-01-15,242.4
2025-01-16,242.42
2025-01-17,246.02
2025-01-18,248.9
2025-01-19,245.09
2025-01-20,244.65
2025-01-21,249.84
2025-01-22,254.05
2025-01-23,255.53
2025-01-24,259.02
2025-01-25,258.98
2025-01-26,261.22
2025-01-27,266.74
2025-01-28,263.22
2025-01-29,263.71
2025-01-30,264.54
2025-01-31,260.08
2025-02-01,265.36
2025-02-02,269.59
2025-02-03,269.9
2025-02-04,270.5
2025-02-05,275.63
2025-02-06,272.58
2025-02-07,273.94
2025-02-08,276.98
2025-02-09,273.39
2025-02-10,272.65
2025-02-11,274.26
2025-02-12,278.97
2025-02-13,279.51
2025-02-14,278.74
2025-02-15,284.52
2025-02-16,289.59
2025-02-17,292.98
2025-02-18,290.99
2025-02-19,296.59
2025-02-20,302.26
2025-02-21,302.24
2025-02-22,298.71
2025-02-23,298.25
2025-02-24,300.95
2025-02-25,304.18
2025-02-26,302.47
2025-02-27,305.19
2025-02-28,309.66
2025-03-01,312.49
2025-03-02,317.78
2025-03-03,319.74
2025-03-04,316.95
2025-03-05,318.81
2025-03-06,317.01
2025-03-07,315.81
2025-03-08,318.2
2025-03-09,324.0
2025-03-10,326.15
2025-03-11,331.69
2025-03-12,332.23
2025-03-13,334.87
2025-03-14,333.42
2025-03-15,329.69
2025-03-16,328.56
2025-03-17,328.84
2025-03-18,330.12
2025-03-19,332.46
2025-03-20,332.05
2025-03-21,335.28
2025-03-22,339.53
2025-03-23,337.68
2025-03-24,342.0
2025-03-25,345.89
2025-03-26,346.64
2025-03-27,341.92
2025-03-28,338.52
2025-03-29,340.89
2025-03-30,338.09
2025-03-31,341.34
2025-04-01,338.11
2025-04-02,336.26
2025-04-03,334.02
2025-04-04,338.25
2025-04-05,340.85
2025-04-06,339.1
2025-04-07,342.39
2025-04-08,337.74
2025-04-09,341.7
2025-04-10,337.82
2025-04-11,342.37
2025-04-12,345.51
2025-04-13,350.02
2025-04-14,353.19
2025-04-15,354.36
2025-04-16,351.97
2025-04-17,355.6
2025-04-18,359.39
2025-04-19,357.55
2025-04-20,359.86
2025-04-21,365.05
2025-04-22,364.32
2025-04-23,369.84
2025-04-24,375.57
2025-04-25,374.01
2025-04-26,375.09
2025-04-27,370.23
2025-04-28,367.99
2025-04-29,369.82
2025-04-30,373.41
2025-05-01,377.98
2025-05-02,382.11
2025-05-03,387.14
2025-05-04,389.89
2025-05-05,392.01
2025-05-06,395.32
2025-05-07,396.33
2025-05-08,397.97
2025-05-09,401.51
2025-05-10,407.11
2025-05-11,405.35
2025-05-12,402.3
2025-05-13,404.81
